Dinlenenler : rssis:-105.00, snr:-10.20, rssi:-95.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHcx28xAJ3HAO5wOx124UWDC1ns3dqX8LCjo5oPOKvVnIy//4wvYcMjbcCK9zuWOA==
Dinlenenler : rssis:-105.00, snr:-10.20, rssi:-95.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHcx28xAJ3HAO5wOx124UWDC1ns3dqX8LCjo5oPOKvVnIy//4wvYcMjbcCK9zuWOA==
Dinlenenler : rssis:-105.00, snr:-10.20, rssi:-95.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHcx28xAJ3HAO5wOx124UWDC1ns3dqX8LCjo5oPOKvVnIy//4wvYcMjbcCK9zuWOA==
Dinlenenler : rssis:-105.00, snr:-10.20, rssi:-95.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHcx28xAJ3HAO5wOx124UWDC1ns3dqX8LCjo5oPOKvVnIy//4wvYcMjbcCK9zuWOA==
Dinlenenler : rssis:-105.00, snr:-10.20, rssi:-95.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHcx28xAJ3HAO5wOx124UWDC1ns3dqX8LCjo5oPOKvVnIy//4wvYcMjbcCK9zuWOA==
Dinlenenler : rssis:-105.00, snr:-10.20, rssi:-95.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHcx28xAJ3HAO5wOx124UWDC1ns3dqX8LCjo5oPOKvVnIy//4wvYcMjbcCK9zuWOA==
Dinlenenler : rssis:-108.00, snr:-18.20, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFHL+yDAC0GAHJJiRDLA9uGVK0VQrLavW/bl3UJDgjaybDS+vo3Lfre27Ul3EoIpw==
Dinlenenler : rssis:-108.00, snr:-18.20, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFHL+yDAC0GAHJJiRDLA9uGVK0VQrLavW/bl3UJDgjaybDS+vo3Lfre27Ul3EoIpw==
Dinlenenler : rssis:-108.00, snr:-18.20, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFHL+yDAC0GAHJJiRDLA9uGVK0VQrLavW/bl3UJDgjaybDS+vo3Lfre27Ul3EoIpw==
Dinlenenler : rssis:-108.00, snr:-18.20, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFHL+yDAC0GAHJJiRDLA9uGVK0VQrLavW/bl3UJDgjaybDS+vo3Lfre27Ul3EoIpw==
Dinlenenler : rssis:-108.00, snr:-18.20, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFHL+yDAC0GAHJJiRDLA9uGVK0VQrLavW/bl3UJDgjaybDS+vo3Lfre27Ul3EoIpw==
Dinlenenler : rssis:-108.00, snr:-18.20, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFHL+yDAC0GAHJJiRDLA9uGVK0VQrLavW/bl3UJDgjaybDS+vo3Lfre27Ul3EoIpw==
Dinlenenler : rssis:-108.00, snr:-18.20, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFHL+yDAC0GAHJJiRDLA9uGVK0VQrLavW/bl3UJDgjaybDS+vo3Lfre27Ul3EoIpw==
Dinlenenler : rssis:-108.00, snr:-18.20, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFHL+yDAC0GAHJJiRDLA9uGVK0VQrLavW/bl3UJDgjaybDS+vo3Lfre27Ul3EoIpw==
Dinlenenler : rssis:-96.00, snr:-5.00, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEQs/nNAGwKAN3uMfG871rrC+8bqPo/avGr9C/5eGdOswyd4ALwi36aHhejhBgWDA==
Dinlenenler : rssis:-96.00, snr:-5.00, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEQs/nNAGwKAN3uMfG871rrC+8bqPo/avGr9C/5eGdOswyd4ALwi36aHhejhBgWDA==
Dinlenenler : rssis:-96.00, snr:-5.00, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEQs/nNAGwKAN3uMfG871rrC+8bqPo/avGr9C/5eGdOswyd4ALwi36aHhejhBgWDA==
Dinlenenler : rssis:-96.00, snr:-5.00, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEQs/nNAGwKAN3uMfG871rrC+8bqPo/avGr9C/5eGdOswyd4ALwi36aHhejhBgWDA==
Dinlenenler : rssis:-96.00, snr:-5.00, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEQs/nNAGwKAN3uMfG871rrC+8bqPo/avGr9C/5eGdOswyd4ALwi36aHhejhBgWDA==
Dinlenenler : rssis:-96.00, snr:-5.00, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEQs/nNAGwKAN3uMfG871rrC+8bqPo/avGr9C/5eGdOswyd4ALwi36aHhejhBgWDA==
Dinlenenler : rssis:-96.00, snr:-5.00, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEQs/nNAGwKAN3uMfG871rrC+8bqPo/avGr9C/5eGdOswyd4ALwi36aHhejhBgWDA==
Dinlenenler : rssis:-96.00, snr:-5.00, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEQs/nNAGwKAN3uMfG871rrC+8bqPo/avGr9C/5eGdOswyd4ALwi36aHhejhBgWDA==
Dinlenenler : rssis:-96.00, snr:-5.00, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEQs/nNAGwKAN3uMfG871rrC+8bqPo/avGr9C/5eGdOswyd4ALwi36aHhejhBgWDA==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF5g5F2AKzBAFUb/Me8kmuSwVimEoWSsb2eXaRNdaI9lJV1ntvFWNK0T6IXuRiZqw==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF5g5F2AKzBAFUb/Me8kmuSwVimEoWSsb2eXaRNdaI9lJV1ntvFWNK0T6IXuRiZqw==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF5g5F2AKzBAFUb/Me8kmuSwVimEoWSsb2eXaRNdaI9lJV1ntvFWNK0T6IXuRiZqw==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF5g5F2AKzBAFUb/Me8kmuSwVimEoWSsb2eXaRNdaI9lJV1ntvFWNK0T6IXuRiZqw==
